track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRK2C66B53622,0.795,0.914,11,-6.23,1,0.049,0.246,0.123,0.114,0.621,106.7,3
TRK3424997FDF,0.641,0.945,7,-2.83,0,0.03,0.0,0.067,0.242,0.422,132.5,4
TRKC6EAEACB1A,0.701,0.582,5,-4.55,1,0.055,0.087,0.041,0.233,0.622,102.0,4
TRKE7894E75D8,0.861,0.63,7,-5.09,1,0.067,0.412,0.087,0.167,0.775,83.1,4
TRK3F24C92FC8,0.605,0.685,4,-4.92,1,0.118,0.147,0.122,0.319,0.637,114.8,4
TRK8D54C5B45E,0.807,0.704,7,-7.4,1,0.121,0.0,0.027,0.178,0.42,171.0,4
TRK5CB0F47594,0.183,0.148,3,-16.15,0,0.078,0.903,0.528,0.09,0.577,116.6,4
TRK62B34F8787,0.602,0.644,7,-6.79,0,0.222,0.22,0.103,0.161,0.686,95.3,4
TRK5029E23E04,0.369,0.719,8,-7.03,1,0.009,0.0,0.2,0.33,0.538,121.9,4
TRK1720630958,0.388,0.2,11,-17.97,1,0.038,1.0,0.794,0.102,0.373,140.5,4
TRK2224078065,0.664,0.435,7,-13.23,1,0.046,0.607,0.333,0.242,0.615,82.4,4
TRK7B8B8C57A9,0.605,0.696,6,-6.94,1,0.076,0.156,0.0,0.158,0.367,,4
TRKE78E0FEA16,0.39,0.98,3,-7.92,1,0.069,0.074,0.053,0.268,0.397,166.0,4
TRK278D45B806,0.782,0.929,3,-5.11,1,0.046,0.351,0.079,0.19,0.416,100.9,4
TRK4891D32824,0.7,0.758,5,-3.85,1,0.076,0.075,0.077,0.183,0.486,129.7,4
TRK6DFE7D7051,0.602,0.876,7,-6.11,1,0.107,0.028,0.139,0.411,0.439,173.0,5
TRKE8AFB0636A,0.603,0.787,7,-4.29,0,0.1,0.05,0.061,0.21,0.62,147.6,4
TRKE1F6135A62,0.628,0.682,3,-2.13,1,0.128,0.207,0.034,0.132,0.733,127.3,5
TRK9BD717A524,0.749,0.711,5,-3.4,1,0.085,0.179,0.0,0.131,0.632,117.6,3
TRK28CA02D211,0.575,0.399,4,-16.06,0,0.055,0.725,0.455,0.22,0.66,109.3,4
TRKF9A26D7F92,0.699,0.746,5,-2.18,1,0.0,0.199,0.039,0.12,0.516,97.4,4
TRK233D1F546C,0.837,0.517,5,-4.79,1,0.323,0.0,0.0,0.075,0.566,88.1,4
TRKABD6B6501C,0.744,0.615,11,-8.62,1,0.201,0.0,0.0,0.118,0.452,109.8,4
TRKF12DB26693,0.441,0.957,6,-4.65,0,0.047,0.099,0.035,0.262,0.212,135.9,4
TRKCE963036E6,0.687,0.188,11,-11.18,0,0.02,0.594,0.654,0.095,0.382,83.2,3
TRK6E1DC09719,0.436,0.126,2,-9.92,0,0.037,0.655,0.658,0.087,0.414,71.6,4
TRKE6D7C35BF5,0.143,0.202,11,-13.57,1,0.0,1.0,0.901,0.191,0.286,69.1,4
TRK5E1F5A28CD,0.419,0.879,11,-2.22,0,0.057,0.064,0.087,0.299,0.116,122.2,4
TRKFFAD3C2BC4,0.581,0.801,1,-2.1,1,0.195,0.0,0.0,0.135,0.46,159.0,4
TRKD47DAA27D5,0.726,0.699,6,-5.65,1,0.0,0.442,0.0,0.187,0.431,106.2,4
TRK57B5454FAE,0.625,0.389,7,-11.77,1,0.037,0.486,0.565,0.04,0.315,80.2,4
TRKD43C8DEB56,0.699,0.622,9,-8.18,1,0.086,0.379,0.107,0.177,0.397,113.0,4
TRK79E6FB6B3B,0.671,0.697,3,-8.24,1,0.131,0.034,0.026,0.236,0.588,121.8,4
TRK1737D54FB2,0.514,0.755,4,-5.92,1,0.034,0.021,0.0,0.376,0.309,144.5,4
TRKE9610DD544,0.582,0.96,1,-5.25,1,0.047,0.158,0.0,0.262,0.535,105.2,4
TRK60D04EDD8F,0.515,0.691,5,-8.47,1,0.049,0.28,0.101,0.137,0.511,98.7,4
